sentences,num_1,num_2,num_3,num_4,num_5,vectorized_1,vectorized_2,vectorized_3,vectorized_4,vectorized_5,model,time,token,cost,interation,result
How many walls are in Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.45406112,2.256241,2.5009675,-2.443332,-0.7246137,3.5 Turbo,5.95,2862,0.001501,1,1
How many storeys in Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.34626454,1.8045166,1.9909866,-1.9280146,-0.6544992,4 Turbo,9.18,2880,0.03054,1,1
What are the name and function of all space in Snowdon Towers Sample Architectural.ifc?,0,1,0,0,0,0.59137356,2.8407288,3.215767,-3.1665487,-0.92007077,4o,7.05,2910,0.01571,1,1
What are the name and the area of all space in Snowdon Towers Sample Architectural.ifc?,0,1,0,0,0,0.58456594,2.8656147,3.2519605,-3.2107687,-0.9718819,4o,7.75,2914,0.01576,1,1
Which space has the largest area in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.49959955,2.4209223,2.744024,-2.7897933,-0.87805444,4o,8.94,3008,0.01721,1,1
Which space has the largest area in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.49959955,2.4209223,2.744024,-2.7897933,-0.87805444,4 Turbo,41.53,4837,0.06987,4,0
Which space has the largest area and on which storey is it located in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,1,0.55596536,2.6506884,3.0264876,-3.0404427,-0.9052648,No,1.53,792,0.00046,0,0
Which space has the largest area and on which storey is it located in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,1,0.55596536,2.6506884,3.0264876,-3.0404427,-0.9052648,4o,53.6,16126,0.10439,4,0
Which space has the largest area and on which storey is it located in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,1,0.55596536,2.6506884,3.0264876,-3.0404427,-0.9052648,4 Turbo,79.18,10373,0.14337,4,0
How many spaces are stairs in Snowdon Towers Sample Architectural.ifc?,1,1,0,0,0,0.45406112,2.256241,2.5009675,-2.443332,-0.7246137,4o,9.32,2936,0.01614,1,0
How many spaces are stairs in Snowdon Towers Sample Architectural.ifc?,1,1,0,0,0,0.45406112,2.256241,2.5009675,-2.443332,-0.7246137,3.5 Turbo,43.14,12127,0.0074225,4,0
Which storey is the bathroom located in Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.45889285,2.4569957,2.8335326,-2.8048694,-0.9136991,4o,41.12,23680,0.12715,4,0
Which storey is the living room located in Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.35015815,1.9528571,2.229016,-2.1846974,-0.7448942,3.5 Turbo,8.74,2951,0.0016305,1,0
Which storey has the largest number of spaces in Snowdon Towers Sample Architectural.ifc?,1,0,1,1,0,0.5346355,2.6268952,2.9612029,-2.9699109,-0.9457337,4o,9.89,3122,0.01889,1,1
How many doors are in Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.4115636,1.8767627,2.0684536,-2.0340908,-0.6031751,4o,8.31,2894,0.01552,1,1
How many doors are in Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.4115636,1.8767627,2.0684536,-2.0340908,-0.6031751,3.5 Turbo,7.31,967,0.0005775,1,1
How many windows are in Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.36065456,1.9033113,2.1252346,-2.0258405,-0.6231467,4o,7.34,2897,0.015565,1,1
How many spaces are kitchens in Snowdon Towers Sample Architectural.ifc?,1,1,0,0,0,0.45406112,2.256241,2.5009675,-2.443332,-0.7246137,4 Turbo,9.95,1005,0.01267,1,1
